ref_code_id,ref_code_type_id,ref_code_num,ref_code_char,ref_code_desc,ref_code_desc_long,ref_code_def,active_indicator,created_ts,created_by,updated_ts,updated_by
1,1000001,,,Accounts and Users,,,TRUE,2023-10-18 02:50:11.929978 UTC,Initial Load,2023-10-18 02:50:11.929978 UTC,Initial Load
2,1000002,,,Accuracy,,,TRUE,2023-10-18 02:50:11.929978 UTC,Initial Load,2023-10-18 02:50:11.929978 UTC,Initial Load
3,1000002,,,Validity,,,TRUE,2023-10-18 02:50:11.929978 UTC,Initial Load,2023-10-18 02:50:11.929978 UTC,Initial Load
4,1000002,,,Completeness,,,TRUE,2023-10-18 02:50:11.929978 UTC,Initial Load,2023-10-18 02:50:11.929978 UTC,Initial Load
5,1000002,,,Uniqueness,,,TRUE,2023-10-18 02:50:11.929978 UTC,Initial Load,2023-10-18 02:50:11.929978 UTC,Initial Load
6,1000002,,,Consistency,,,TRUE,2023-10-18 02:50:11.929978 UTC,Initial Load,2023-10-18 02:50:11.929978 UTC,Initial Load
7,1000002,,,Timeliness,,,TRUE,2023-10-18 02:50:11.929978 UTC,Initial Load,2023-10-18 02:50:11.929978 UTC,Initial Load
8,1000003,,,Data Control,,,TRUE,2023-10-18 02:50:11.929978 UTC,Initial Load,2023-10-18 02:50:11.929978 UTC,Initial Load
9,1000003,,,Business Rule,,,TRUE,2023-10-18 02:50:11.929978 UTC,Initial Load,2023-10-18 02:50:11.929978 UTC,Initial Load
10,1000003,,,Balancing Control,,,TRUE,2023-10-18 02:50:11.929978 UTC,Initial Load,2023-10-18 02:50:11.929978 UTC,Initial Load
11,1000003,,,Data Integrity Rule,,,TRUE,2023-10-18 02:50:11.929978 UTC,Initial Load,2023-10-18 02:50:11.929978 UTC,Initial Load
12,1000004,,,DAP,,,TRUE,2023-10-18 02:50:11.929978 UTC,Initial Load,2023-10-18 02:50:11.929978 UTC,Initial Load
13,1000004,,,Groot,,,TRUE,2023-10-18 02:50:13.725852 UTC,Initial Load,2023-10-18 02:50:13.725852 UTC,Initial Load
14,1000004,,,Data Warehouse,,,TRUE,2023-10-18 02:50:13.725852 UTC,Initial Load,2023-10-18 02:50:13.725852 UTC,Initial Load
15,1000004,,,Payment Service,,,TRUE,2023-10-18 02:50:13.725852 UTC,Initial Load,2023-10-18 02:50:13.725852 UTC,Initial Load
